epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9891.06,1.55683,1.06989,0.89056,0.42805,0.321,0.3052,0.16901,1.50023,1.06451,0.88873,0.00492625,0.00492625,0.00492625
43,10118.1,1.54803,1.06567,0.89329,0.43522,0.31694,0.30485,0.16974,1.50127,1.06518,0.88863,0.0048025,0.0048025,0.0048025
44,10342.1,1.547,1.06204,0.89026,0.4194,0.32281,0.30487,0.16894,1.50131,1.06521,0.88754,0.00467875,0.00467875,0.00467875
45,10564.2,1.54216,1.06025,0.88823,0.42003,0.3236,0.30731,0.17067,1.49746,1.064,0.88907,0.004555,0.004555,0.004555
46,16584,1.54431,1.05413,0.88637,0.43374,0.33041,0.31107,0.17262,1.4961,1.05703,0.88758,0.00443125,0.00443125,0.00443125
47,16874.2,1.53431,1.05061,0.88775,0.42541,0.32974,0.31302,0.17444,1.49264,1.05442,0.88571,0.0043075,0.0043075,0.0043075
48,17168.5,1.53989,1.05187,0.88717,0.43234,0.32812,0.31562,0.17491,1.49465,1.05151,0.88716,0.00418375,0.00418375,0.00418375
49,19175.9,1.53615,1.04674,0.88681,0.44051,0.32615,0.31352,0.17403,1.49516,1.05417,0.88802,0.00406,0.00406,0.00406
50,22600.4,1.52945,1.04087,0.88654,0.43576,0.3276,0.3157,0.17533,1.4868,1.04879,0.88554,0.00393625,0.00393625,0.00393625
51,22822.4,1.5275,1.03916,0.88454,0.43486,0.32718,0.31303,0.17431,1.48644,1.04657,0.8837,0.0038125,0.0038125,0.0038125
52,23042.8,1.52488,1.03475,0.88483,0.42386,0.33078,0.31425,0.17338,1.48753,1.04654,0.88525,0.00368875,0.00368875,0.00368875
53,23268.6,1.52482,1.03678,0.88562,0.44558,0.32482,0.3177,0.17672,1.48623,1.04399,0.88495,0.003565,0.003565,0.003565
54,23496.7,1.52244,1.03093,0.88233,0.42834,0.33683,0.32096,0.17844,1.47888,1.03648,0.88339,0.00344125,0.00344125,0.00344125
55,23723.9,1.518,1.02897,0.88412,0.44489,0.32661,0.31783,0.17687,1.48141,1.04367,0.88336,0.0033175,0.0033175,0.0033175
56,23950.2,1.51598,1.02463,0.88189,0.44532,0.32745,0.31889,0.17689,1.47922,1.03919,0.88374,0.00319375,0.00319375,0.00319375
57,24176,1.51409,1.02477,0.88226,0.44416,0.33261,0.3222,0.17992,1.47589,1.03424,0.88239,0.00307,0.00307,0.00307
58,24397.2,1.50052,1.01401,0.88107,0.44197,0.33595,0.32205,0.17869,1.47807,1.03706,0.88266,0.00294625,0.00294625,0.00294625
59,24617.6,1.49938,1.01192,0.88166,0.44228,0.33084,0.31921,0.17805,1.4761,1.03644,0.88226,0.0028225,0.0028225,0.0028225
60,24837.6,1.50395,1.01255,0.88262,0.44641,0.33464,0.32247,0.17978,1.47057,1.03181,0.88213,0.00269875,0.00269875,0.00269875
61,25056.9,1.50072,1.00701,0.88004,0.44735,0.33451,0.32413,0.18088,1.47354,1.03265,0.88185,0.002575,0.002575,0.002575
62,25279,1.49576,1.00386,0.87948,0.45622,0.33201,0.32346,0.18063,1.47078,1.0312,0.88177,0.00245125,0.00245125,0.00245125
63,25499.9,1.49683,1.00388,0.87933,0.44872,0.33726,0.32456,0.18122,1.47426,1.03137,0.88213,0.0023275,0.0023275,0.0023275
64,25728.8,1.49136,0.99574,0.8807,0.45737,0.33188,0.32863,0.18332,1.46909,1.02676,0.88139,0.00220375,0.00220375,0.00220375
65,25949.5,1.49593,1.00472,0.87751,0.45655,0.33291,0.32659,0.18241,1.47073,1.02609,0.88087,0.00208,0.00208,0.00208
66,26172.9,1.49553,0.99589,0.87734,0.46583,0.33115,0.32615,0.18127,1.47044,1.0276,0.88053,0.00195625,0.00195625,0.00195625
67,26397.8,1.48388,0.9911,0.87738,0.44849,0.33638,0.32734,0.18187,1.46836,1.02605,0.88041,0.0018325,0.0018325,0.0018325
68,26618.1,1.48282,0.98768,0.8757,0.45353,0.33173,0.32601,0.18129,1.46632,1.02718,0.87999,0.00170875,0.00170875,0.00170875
69,26841.2,1.48216,0.9857,0.87676,0.45322,0.33191,0.32699,0.18172,1.46678,1.02522,0.88049,0.001585,0.001585,0.001585
70,27063.5,1.48088,0.98343,0.87534,0.45319,0.33001,0.32564,0.18173,1.4668,1.02647,0.88067,0.00146125,0.00146125,0.00146125
71,27270,1.43775,0.96556,0.8803,0.45008,0.33483,0.32539,0.18078,1.47121,1.03201,0.88169,0.0013375,0.0013375,0.0013375
72,27486.8,1.4325,0.95189,0.87799,0.45446,0.32987,0.3261,0.18091,1.47109,1.03097,0.88119,0.00121375,0.00121375,0.00121375
73,27700.3,1.42636,0.94472,0.87777,0.46339,0.32698,0.32554,0.18109,1.47124,1.03015,0.88086,0.00109,0.00109,0.00109
74,27910.6,1.42528,0.94213,0.87689,0.45122,0.33339,0.32773,0.18201,1.46825,1.02767,0.87973,0.00096625,0.00096625,0.00096625
75,28115,1.41884,0.93756,0.87589,0.45061,0.3373,0.32674,0.18209,1.46763,1.02649,0.87985,0.0008425,0.0008425,0.0008425
76,28321.5,1.41977,0.93399,0.87495,0.44828,0.33589,0.32597,0.1818,1.46945,1.02574,0.87999,0.00071875,0.00071875,0.00071875
77,28526.4,1.41455,0.93104,0.87409,0.45347,0.33633,0.32784,0.18246,1.46833,1.02453,0.88013,0.000595,0.000595,0.000595
78,28735,1.40974,0.92546,0.87517,0.45434,0.33924,0.32836,0.18291,1.46696,1.02418,0.88005,0.00047125,0.00047125,0.00047125
79,28939.4,1.40615,0.92142,0.873,0.45219,0.34042,0.32883,0.18338,1.46706,1.02357,0.87961,0.0003475,0.0003475,0.0003475
80,29142.7,1.40645,0.92033,0.87424,0.45972,0.33826,0.32976,0.18387,1.46709,1.0242,0.87969,0.00022375,0.00022375,0.00022375
